Eigenvalue(e   Real(S_x)   Imag(S_x)    Abs(S_x)   Real(S_y)   Imag(S_y)    Abs(S_y)   Real(S_z)   Imag(S_z)    Abs(S_z)
    6.995604   -0.779017   -1.316433    1.529661    0.000048    0.000090    0.000102   -0.000189   -0.000319    0.000371
    6.995605    0.000097   -0.000026    0.000101    1.503484   -0.272912    1.528053    0.008653    0.014927    0.017253
    6.995606   -0.000152   -0.000340    0.000372   -0.017197    0.001228    0.017241    0.621432    1.395949    1.528022
    7.867741    1.570940    2.112256    2.632391   -0.000092   -0.000127    0.000157    0.000289    0.000388    0.000484
    7.867769   -0.000013    0.000164    0.000164   -0.294069    2.613021    2.629516   -0.014297   -0.038871    0.041417
    7.867777    0.000157    0.000456    0.000482    0.005509   -0.040999    0.041368   -0.853623   -2.487050    2.629466
    8.007542   -0.000000   -0.000000    0.000000   -0.000006   -0.000012    0.000014    0.000005    0.000004    0.000006
    8.007548   -0.000000    0.000000    0.000000    0.000000   -0.000007    0.000007   -0.000007   -0.000012    0.000014
    8.007549    0.000008    0.000006    0.000010    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    8.050785    0.000002    0.000003    0.000004    0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
    8.050795   -0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
    8.167898    0.000000    0.000000    0.000000   -0.000060   -0.000027    0.000066   -0.000000    0.000034    0.000034
    8.167898   -0.000000    0.000000    0.000000    0.000035    0.000017    0.000039    0.000001    0.000056    0.000056
    8.167905    0.000001    0.000001    0.000001    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    8.168055    0.000002   -0.000005    0.000005    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    8.168059   -0.000000   -0.000000    0.000000   -0.000005   -0.000001    0.000005    0.000001   -0.000001    0.000001
    8.168065    0.000000   -0.000000    0.000000   -0.000000   -0.000001    0.000001   -0.000003   -0.000004    0.000005
    8.169623   -0.000000    0.000000    0.000000    0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000
    8.169631   -0.000000   -0.000000    0.000000   -0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
